127.0.0.1 - - [03/May/2021:18:49:10 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/ HTTP/1.1" 200 13571
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/css/style.css HTTP/1.1" 200 764833
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/js/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/js/mycart.js HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/js/mycart-custom.js HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/js/custom-general.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/js/bootstrap.min.js HTTP/1.1" 200 59973
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/img/logo3.png HTTP/1.1" 200 169224
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/img/pizza-1.png HTTP/1.1" 200 190793
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/img/pizza-2.png HTTP/1.1" 200 199893
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/img/pizza-3.png HTTP/1.1" 200 84542
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/img/pizza-4.png HTTP/1.1" 200 86380
0:0:0:0:0:0:0:1 - - [03/May/2021:18:49:12 -0300] "GET /pizzaria/img/cart.svg HTTP/1.1" 200 1129
